task_id,arrival_time,execution_time,deadline,priority,resource_1,resource_2,resource_3
9385,1,47,199,3,5,10,6
9400,1,48,122,5,2,7,2
9528,1,26,167,3,6,3,7
9915,1,50,163,3,10,2,4
4,2,37,50,5,5,2,6
25,2,34,184,3,10,5,7
34,2,31,187,4,7,4,2
167,2,11,82,2,10,2,3
420,2,46,112,2,8,7,6
467,2,15,34,2,7,4,9
490,2,37,76,5,5,10,9
496,2,10,191,3,6,1,9
564,2,22,40,5,3,10,5
656,2,8,71,1,4,8,6
864,2,27,87,1,7,1,3
1003,2,42,194,4,2,7,5
1139,2,46,162,2,8,3,9
1185,2,14,112,5,3,8,8
1206,2,24,163,5,2,1,10
1227,2,32,164,1,8,7,8
1349,2,29,115,5,2,10,3
1493,2,23,128,4,5,4,8
1736,2,43,153,3,5,9,6
1805,2,47,62,3,10,4,4
1807,2,6,45,3,4,4,1
2047,2,26,119,5,2,8,3
2094,2,38,51,2,7,7,10
2229,2,32,85,3,9,4,4
2230,2,28,49,2,10,5,9
2342,2,8,46,4,5,7,4
2381,2,43,57,3,7,1,4
2577,2,6,45,4,9,10,8
2731,2,25,86,1,9,5,6
2752,2,50,99,1,1,4,3
2843,2,48,158,5,5,10,7
3007,2,50,122,3,1,6,9
3136,2,31,49,2,9,9,5
3141,2,36,122,5,1,2,3
3166,2,14,72,1,3,3,3
3540,2,40,111,5,3,3,1
3804,2,8,105,5,7,2,2
3873,2,18,78,5,8,5,5
3917,2,41,119,2,2,7,5
3931,2,47,123,1,8,9,4
3994,2,31,169,5,2,5,4
3995,2,7,188,1,2,6,10
4150,2,49,178,3,10,8,3
4158,2,8,107,1,2,10,7
4428,2,47,143,2,10,5,7
4896,2,40,70,2,1,9,2
5033,2,35,69,4,9,10,3
5047,2,24,198,4,2,3,2
5198,2,32,184,3,3,1,10
5226,2,35,109,5,3,4,2
5283,2,26,125,3,3,7,4
5294,2,43,114,3,4,4,9
5451,2,38,83,4,7,2,9
5470,2,33,128,3,8,10,2
5955,2,37,73,1,2,9,10
5980,2,14,61,3,2,3,7
6025,2,26,94,4,2,4,1
6071,2,40,150,1,9,6,6
6093,2,8,43,1,10,9,7
6115,2,6,73,2,6,8,4
6161,2,8,29,1,8,3,8
6202,2,16,189,2,3,8,1
6310,2,8,171,3,9,2,8
6525,2,42,153,5,4,4,1
6812,2,18,71,2,8,6,3
6816,2,24,144,3,6,10,5
6922,2,41,123,3,4,6,5
6931,2,12,202,1,9,8,7
6947,2,23,165,5,9,8,10
6950,2,46,111,3,6,7,8
7222,2,44,85,2,6,3,6
7228,2,13,75,5,10,2,7
7286,2,32,103,5,3,10,8
7446,2,27,42,3,10,9,8
7538,2,5,17,5,6,8,7
7566,2,46,171,5,3,5,9
7573,2,5,112,3,4,3,1
7622,2,30,171,5,7,5,9
7627,2,40,201,5,7,1,7
7722,2,7,65,1,4,2,2
7749,2,9,38,1,7,4,9
7878,2,24,40,1,7,5,9
8048,2,48,131,5,1,10,3
8110,2,28,177,5,10,6,2
8235,2,33,150,1,3,6,6
8238,2,49,62,5,9,9,3
8316,2,49,62,4,2,8,1
8397,2,28,146,4,3,4,8
8421,2,32,146,3,5,8,10
8526,2,40,124,5,7,4,6
8596,2,34,173,5,6,10,8
8663,2,49,83,1,8,1,5
8728,2,26,190,4,9,5,7
8827,2,17,43,2,9,2,8
9523,2,27,67,4,7,2,9
9532,2,9,111,3,5,6,1
9558,2,38,78,1,10,4,9
9606,2,13,90,3,6,1,6
9686,2,6,148,2,10,9,7
9742,2,11,52,1,4,2,2
9830,2,21,85,5,1,1,10
9965,2,42,180,5,10,3,1
32,3,26,124,2,10,10,5
269,3,49,182,4,8,3,8
321,3,32,168,5,1,9,9
629,3,10,71,2,3,3,9
742,3,6,98,4,4,6,4
910,3,45,90,2,3,2,4
992,3,12,141,5,9,6,5
1014,3,15,33,5,1,5,10
1036,3,47,141,4,9,4,6
1046,3,49,111,3,4,1,8
1135,3,30,97,4,8,4,6
1168,3,9,164,3,7,2,10
1254,3,21,95,1,10,5,2
1285,3,24,47,4,1,1,7
1581,3,42,138,3,3,1,2
1681,3,50,185,4,4,1,5
1706,3,41,156,5,5,8,4
1733,3,18,71,1,8,5,2
1743,3,41,153,3,4,6,5
1754,3,25,143,1,6,5,6
1831,3,18,51,2,4,3,1
1990,3,40,194,5,10,9,1
2142,3,20,115,2,6,2,2
2167,3,28,182,3,9,2,9
2643,3,8,192,2,8,3,3
2870,3,22,39,5,1,7,3
2902,3,21,149,4,10,3,10
2983,3,6,112,3,1,8,5
3055,3,39,159,5,2,4,9
3091,3,46,100,1,6,2,7
3126,3,48,96,2,6,7,3
3242,3,15,126,1,2,6,9
3244,3,40,98,1,9,3,7
3327,3,21,56,1,8,9,5
3437,3,41,129,2,10,9,9
3463,3,42,191,5,3,8,9
3558,3,11,52,4,7,3,7
4126,3,44,158,5,5,4,4
4190,3,27,151,3,8,10,10
4215,3,26,109,4,6,5,9
4320,3,49,195,2,7,8,3
4644,3,45,69,1,4,10,7
4762,3,17,171,2,9,8,3
4914,3,20,187,4,3,9,10
5069,3,49,183,2,8,5,7
5217,3,17,35,1,4,1,5
5460,3,18,136,2,10,4,8
5468,3,42,136,1,10,2,7
5469,3,30,103,2,10,7,4
5538,3,46,133,5,8,2,8
5546,3,27,179,4,6,3,9
5573,3,12,181,4,5,5,3
5707,3,40,99,2,7,9,10
5766,3,30,128,3,3,8,7
5913,3,12,88,5,7,5,10
5940,3,46,137,5,7,2,2
6052,3,47,123,3,5,10,10
6092,3,19,52,5,2,3,6
6151,3,23,60,3,9,7,9
6218,3,32,137,5,3,6,8
6234,3,50,134,5,2,7,7
6284,3,5,133,2,8,2,3
6285,3,30,135,1,3,9,5
6417,3,21,55,3,5,8,10
6446,3,36,126,4,4,3,1
6458,3,35,116,4,1,10,10
6468,3,9,188,3,10,8,7
6530,3,24,164,3,5,4,9
6800,3,8,143,5,9,7,6
6807,3,47,158,4,5,4,10
6879,3,33,197,2,6,1,6
6909,3,17,109,2,2,6,1
6924,3,48,173,3,6,7,1
6960,3,24,153,4,10,5,4
6972,3,19,117,2,5,8,9
6992,3,41,87,2,1,4,6
7086,3,46,87,4,8,7,10
7182,3,43,101,5,7,1,8
7292,3,45,65,2,9,5,9
7484,3,22,114,3,10,8,9
7698,3,32,66,2,2,5,9
7817,3,50,203,1,6,7,5
8068,3,46,134,3,1,3,9
8085,3,33,56,5,8,10,8
8099,3,31,182,1,8,6,7
8118,3,29,156,1,3,3,3
8172,3,45,66,1,6,4,8
8217,3,16,195,4,1,4,4
8377,3,7,165,5,7,2,3
8452,3,5,56,5,8,4,9
8538,3,42,172,2,4,7,9
8703,3,25,97,5,4,9,1
8712,3,14,151,3,7,5,1
8965,3,31,149,4,4,8,7
9139,3,42,152,4,7,5,4
9293,3,49,151,3,3,4,4
9298,3,46,59,1,2,6,2
9511,3,10,106,3,7,1,4
9566,3,17,103,2,1,8,10
9588,3,17,135,4,6,9,8
9613,3,49,92,3,9,5,8
9715,3,33,141,5,8,2,4
9805,3,27,183,1,8,7,1
9905,3,24,135,3,10,6,1
9969,3,46,175,3,4,5,2
102,4,17,157,3,2,2,4
147,4,23,111,4,2,3,3
219,4,50,127,3,8,2,6
245,4,40,137,5,4,5,2
447,4,21,66,5,7,1,5
518,4,28,67,5,4,1,10
536,4,10,112,5,5,8,1
542,4,39,54,4,1,7,3
638,4,28,152,3,2,5,1
640,4,9,84,5,5,1,5
678,4,34,64,1,10,8,3
964,4,45,83,3,5,7,8
999,4,8,81,4,3,5,9
1018,4,37,162,2,10,6,9
1209,4,43,81,3,3,4,3
1547,4,48,105,5,8,5,9
1643,4,25,163,5,10,7,7
1724,4,22,109,5,8,9,7
1740,4,5,24,4,8,10,2
1898,4,29,120,4,3,6,9
2036,4,41,192,4,3,1,9
2095,4,43,147,4,7,1,6
2424,4,17,132,3,6,4,8
2430,4,13,198,1,4,3,5
2515,4,35,66,2,8,10,7
2518,4,48,140,4,8,9,5
2591,4,5,22,5,5,9,3
2683,4,31,183,3,4,3,10
2765,4,45,135,2,4,3,7
2823,4,29,171,5,8,1,8
2898,4,12,138,5,2,3,3
2967,4,11,191,2,6,9,7
3001,4,5,27,1,10,3,1
3064,4,43,162,2,9,4,5
3154,4,32,166,3,9,6,4
3184,4,18,47,2,8,6,1
3469,4,47,63,3,9,3,8
3599,4,44,182,1,3,5,7
3786,4,34,192,4,4,4,7
3928,4,8,127,5,2,8,2
3990,4,28,200,5,9,7,4
4004,4,9,130,1,6,4,10
4013,4,17,130,5,1,2,10
4022,4,20,146,2,3,10,8
4251,4,10,40,3,8,8,6
4299,4,12,31,3,7,1,4
4389,4,50,169,3,7,3,1
4531,4,49,168,1,2,5,5
4552,4,23,53,5,5,2,9
4554,4,21,185,4,9,9,2
4619,4,40,136,5,1,10,6
4704,4,49,168,2,3,6,3
4745,4,15,82,3,10,2,4
4766,4,45,92,3,4,9,4
4990,4,44,115,1,8,4,8
4999,4,50,159,1,4,3,9
5039,4,39,79,3,6,9,7
5077,4,35,200,4,4,3,5
5412,4,18,192,4,9,2,2
5572,4,25,98,1,2,7,9
5642,4,10,40,3,9,4,2
5660,4,46,144,2,7,3,10
5661,4,40,166,4,3,9,7
5702,4,47,124,2,5,7,7
5730,4,15,162,1,8,7,8
5828,4,39,200,4,4,4,3
5865,4,11,94,3,5,10,7
5906,4,37,96,2,4,5,2
5952,4,43,142,5,3,2,3
6028,4,21,127,1,4,3,1
6070,4,21,86,3,5,10,6
6467,4,10,106,1,7,5,9
6489,4,42,198,3,10,8,10
6716,4,25,54,1,2,3,5
7014,4,34,50,2,9,6,2
7027,4,13,41,4,1,5,5
7075,4,16,173,3,9,3,4
7106,4,12,157,1,10,5,8
7230,4,30,80,2,7,8,4
7355,4,34,169,4,4,10,6
7399,4,26,79,1,8,7,4
7440,4,44,174,2,5,9,4
7646,4,17,102,1,10,9,4
7663,4,16,166,5,2,4,5
7816,4,7,188,2,3,4,5
7863,4,11,25,5,6,7,4
7877,4,9,48,5,1,8,2
7880,4,29,163,2,2,10,9
7930,4,27,145,4,1,4,1
8138,4,33,164,2,5,5,8
8190,4,45,83,5,9,2,4
8346,4,50,100,2,5,8,4
8434,4,24,192,3,10,6,3
8554,4,30,114,3,9,10,1
8607,4,8,109,4,6,10,4
8772,4,18,67,2,4,1,5
8821,4,6,121,1,2,1,1
8873,4,16,34,1,2,3,1
9054,4,12,54,2,7,5,6
9098,4,13,56,3,2,4,1
9121,4,26,202,3,4,10,10
9130,4,17,110,1,2,7,10
9167,4,50,110,2,3,5,6
9349,4,7,35,1,4,8,1
9467,4,34,204,2,8,3,7
9515,4,35,175,1,1,4,1
9745,4,35,194,5,1,8,3
9790,4,31,192,4,7,7,2
9801,4,50,67,2,2,10,4
9804,4,37,202,2,8,8,2
9958,4,42,70,4,6,1,4
57,5,21,141,4,7,3,7
174,5,36,167,4,3,9,3
208,5,28,174,2,1,1,6
324,5,18,160,4,10,6,9
439,5,23,92,2,1,1,4
592,5,38,184,2,6,10,2
662,5,44,113,2,5,9,7
753,5,42,72,3,6,5,6
967,5,13,191,5,1,4,10
1103,5,20,84,4,9,1,3
1116,5,49,191,1,5,9,9
1333,5,6,124,4,2,2,6
1460,5,31,137,3,4,6,6
1474,5,23,167,5,5,1,10
1608,5,8,151,5,1,3,5
1691,5,30,179,5,10,5,10
1716,5,23,199,1,2,9,8
1772,5,33,61,4,10,8,2
1778,5,31,166,4,8,3,1
1811,5,19,203,2,5,8,8
1892,5,25,174,4,8,8,4
2280,5,11,180,1,7,8,10
2309,5,49,182,3,6,5,7
3080,5,29,181,2,6,7,8
3098,5,27,159,5,10,3,9
3139,5,45,100,2,4,9,2
3302,5,18,164,1,10,9,10
3353,5,40,155,3,8,8,5
3361,5,46,173,5,7,7,5
3384,5,48,194,5,3,7,3
3434,5,6,78,3,2,9,1
3476,5,36,71,2,6,9,7
3519,5,38,116,4,10,7,3
3581,5,10,55,1,10,4,8
3588,5,24,84,4,8,5,4
3625,5,14,138,4,8,4,4
3747,5,11,103,3,9,7,4
3756,5,49,100,3,4,1,3
3816,5,17,160,5,5,9,3
4009,5,31,175,1,10,5,3
4044,5,36,164,3,10,2,3
4092,5,37,115,1,4,4,5
4281,5,48,150,1,10,1,4
4438,5,32,199,3,3,4,1
4451,5,10,67,1,3,5,9
4455,5,38,59,5,6,7,2
4501,5,25,184,1,8,7,4
4630,5,17,139,3,4,5,1
4732,5,45,178,5,6,7,5
4820,5,36,183,2,9,6,5
4876,5,49,82,5,6,8,3
4970,5,31,135,2,9,10,9
4983,5,36,145,3,3,5,1
5012,5,27,137,5,7,9,9
5015,5,14,36,4,3,10,6
5287,5,32,139,1,2,7,9
5398,5,26,100,5,9,10,2
5532,5,19,46,1,3,9,10
5620,5,23,111,4,6,2,3
5671,5,34,118,3,10,1,8
5743,5,16,58,1,5,9,2
5811,5,11,107,4,8,6,4
5895,5,6,73,5,4,1,9
6156,5,20,40,4,8,7,10
6157,5,10,68,3,1,2,9
6330,5,37,174,5,2,3,8
6538,5,27,118,2,5,2,2
6551,5,29,88,5,7,1,1
6558,5,14,57,4,1,7,2
6560,5,22,73,1,4,8,5
6627,5,7,204,5,10,5,10
6658,5,8,109,2,10,9,1
6834,5,20,50,2,8,4,5
7240,5,9,178,5,8,2,5
7269,5,36,150,3,1,3,2
7377,5,40,144,2,3,10,9
7432,5,32,60,2,1,7,7
7648,5,29,102,1,8,1,7
7713,5,33,111,3,3,1,3
7781,5,21,121,3,4,7,8
7885,5,32,164,4,3,7,5
7898,5,43,58,3,1,8,2
8062,5,16,184,3,6,6,3
8208,5,39,124,5,9,5,1
8313,5,7,136,1,4,8,5
8410,5,22,107,3,3,5,10
8422,5,5,189,5,9,6,3
8430,5,49,97,1,9,3,9
8505,5,9,130,2,5,6,8
8544,5,37,178,1,3,5,7
8679,5,10,196,4,1,3,4
8757,5,11,62,3,5,8,6
8847,5,8,114,3,2,4,7
8923,5,5,27,4,5,4,9
9137,5,49,201,4,1,8,8
9221,5,21,114,4,10,3,9
9287,5,32,130,2,4,3,9
9527,5,7,58,4,7,2,9
9594,5,33,111,1,10,2,7
9602,5,21,150,5,7,3,3
9724,5,33,93,4,1,9,6
9781,5,48,142,3,7,1,6
9878,5,29,132,3,2,4,8
75,6,25,161,1,7,3,8
77,6,36,107,3,2,8,4
108,6,36,154,2,4,2,9
109,6,36,76,1,7,7,3
493,6,33,112,1,6,10,8
513,6,6,125,4,10,3,5
528,6,15,164,3,7,9,9
587,6,20,38,4,2,2,8
738,6,24,127,4,2,1,7
902,6,38,94,3,7,9,6
995,6,46,153,5,1,1,4
1019,6,38,127,2,1,1,6
1204,6,20,171,3,5,10,7
1216,6,21,164,2,3,1,10
1220,6,38,205,3,3,10,10
1295,6,7,134,4,7,1,1
1354,6,42,62,3,3,4,4
1374,6,22,169,4,6,6,7
1463,6,31,141,4,10,2,9
1633,6,19,188,1,7,6,8
1670,6,33,194,2,4,5,7
1735,6,41,67,2,8,2,2
1887,6,33,142,4,9,2,2
2176,6,23,205,3,3,9,3
2516,6,14,206,3,1,3,4
2530,6,39,80,5,7,1,8
2730,6,32,192,2,9,7,9
2749,6,30,93,4,8,3,5
2814,6,20,162,3,7,4,6
2824,6,11,143,5,6,9,10
2947,6,22,115,5,2,8,6
2976,6,13,73,4,3,2,4
2997,6,32,203,4,5,9,3
3051,6,33,165,2,3,1,2
3317,6,6,176,2,7,10,4
3536,6,40,102,5,10,7,8
3541,6,14,76,1,2,9,1
3597,6,25,51,4,1,4,5
3598,6,10,196,4,7,2,8
3619,6,22,175,3,5,1,7
3621,6,35,164,2,5,8,8
3720,6,44,86,5,9,2,10
3748,6,35,177,3,10,8,8
3791,6,46,198,1,5,10,7
4262,6,6,92,1,9,2,8
4367,6,38,60,5,7,10,8
4380,6,41,193,2,2,10,3
4524,6,34,135,5,3,3,9
4609,6,21,75,3,4,3,3
4625,6,20,51,4,1,4,6
4960,6,24,125,5,2,2,8
5103,6,34,162,5,4,3,3
5239,6,19,111,5,6,1,1
5306,6,25,62,3,6,9,1
5471,6,43,85,1,9,3,5
5485,6,5,172,4,5,6,8
5550,6,45,126,3,1,8,2
5629,6,33,116,3,4,10,5
5729,6,27,142,5,8,7,1
5896,6,14,94,5,10,8,5
5945,6,36,66,3,1,5,5
6085,6,8,117,1,4,10,5
6125,6,34,61,3,6,9,9
6430,6,18,97,1,4,7,2
6503,6,7,158,1,7,3,1
6542,6,10,29,5,5,2,5
6575,6,35,141,4,10,10,5
6584,6,38,135,1,8,3,6
6790,6,17,42,1,6,4,10
6900,6,28,110,1,1,7,10
7158,6,35,166,5,10,9,1
7243,6,46,148,5,1,2,10
7250,6,47,149,2,2,9,4
7313,6,49,203,1,10,6,2
7481,6,19,40,2,2,2,7
7569,6,39,192,1,3,3,7
7751,6,32,119,5,10,7,8
7789,6,27,105,1,3,10,1
8022,6,32,87,3,4,8,5
8211,6,19,84,2,3,1,5
8329,6,25,91,3,9,7,6
8475,6,16,189,2,9,8,1
8571,6,43,106,4,7,4,4
8614,6,16,160,1,9,10,1
8642,6,19,163,1,7,5,2
8801,6,33,128,2,5,10,8
8824,6,40,102,1,2,8,5
9201,6,43,73,3,5,9,7
9220,6,17,140,1,5,8,6
9408,6,30,47,5,10,1,9
9470,6,20,81,3,7,1,1
9544,6,13,196,5,6,5,4
9583,6,10,110,3,10,8,5
9708,6,39,63,2,6,5,4
9871,6,47,137,1,10,7,3
9916,6,36,75,2,10,2,3
69,7,25,107,2,5,5,4
117,7,48,179,3,1,7,8
344,7,44,157,2,3,7,3
345,7,49,173,4,1,1,5
363,7,16,185,1,4,10,3
426,7,15,43,1,2,4,6
474,7,40,61,1,8,4,7
557,7,9,67,2,4,10,8
648,7,11,60,5,4,5,10
875,7,28,66,4,3,6,2
889,7,30,109,4,6,10,4
918,7,47,136,5,4,3,10
998,7,43,175,4,7,6,5
1161,7,42,79,2,1,10,3
1341,7,32,202,1,10,7,6
1519,7,49,70,5,9,1,2
1582,7,42,150,2,10,4,2
1619,7,12,121,2,8,4,7
1802,7,39,201,3,6,7,4
2063,7,32,69,5,3,10,6
2307,7,13,141,2,5,6,3
2519,7,20,84,4,5,6,3
2907,7,28,161,4,2,2,3
3006,7,37,60,1,3,1,7
3173,7,24,66,3,9,6,9
3257,7,13,206,2,10,8,4
3343,7,26,193,2,1,1,8
3661,7,38,72,1,3,9,4
3754,7,29,152,1,4,3,6
3863,7,41,128,2,10,4,3
3941,7,43,103,3,1,6,7
4029,7,26,143,1,5,10,4
4063,7,6,190,2,9,7,5
4133,7,8,136,2,6,8,10
4270,7,32,175,5,8,1,8
4504,7,41,187,2,3,10,2
4505,7,19,69,3,7,6,7
4514,7,16,114,5,6,6,7
4719,7,43,121,5,8,10,10
4727,7,34,128,2,1,10,2
4858,7,5,195,1,3,6,6
4912,7,23,174,5,4,6,7
4918,7,48,97,3,6,10,8
5158,7,42,74,2,3,4,1
5224,7,46,147,3,6,8,8
5434,7,27,142,2,2,2,8
5492,7,6,110,5,10,10,6
5540,7,19,181,4,5,6,7
5805,7,8,66,1,1,1,1
6141,7,10,175,4,3,6,6
6178,7,35,207,2,9,1,4
6630,7,19,137,4,10,8,8
6632,7,43,176,4,6,9,8
6791,7,16,128,2,3,2,9
6797,7,9,26,1,5,10,8
6996,7,18,82,2,6,9,3
7065,7,46,151,2,5,7,3
7100,7,38,73,5,8,7,1
7151,7,42,113,4,6,5,10
7496,7,23,150,4,6,1,3
7527,7,23,173,2,8,8,5
7599,7,6,119,1,1,8,8
7613,7,32,139,4,7,1,1
7993,7,23,80,2,6,6,4
7996,7,11,87,5,10,3,9
8198,7,5,31,5,10,2,1
8576,7,24,122,1,5,8,9
8615,7,34,123,1,3,1,4
8887,7,21,195,3,10,1,9
8937,7,21,96,3,1,6,6
8938,7,42,65,5,7,1,8
8972,7,36,149,5,2,3,3
9052,7,34,184,4,9,5,3
9103,7,16,96,4,1,6,6
9146,7,23,177,4,5,4,7
9537,7,49,82,2,6,5,1
9576,7,29,133,2,4,4,9
9580,7,14,75,1,3,4,3
11,8,38,105,5,9,5,2
189,8,7,96,2,6,4,8
191,8,20,184,1,4,2,5
392,8,35,82,1,1,5,2
434,8,36,152,5,5,1,6
637,8,46,86,1,6,3,3
646,8,49,140,5,8,9,1
765,8,49,124,4,1,2,6
818,8,50,146,4,1,9,3
953,8,47,158,4,9,10,5
988,8,46,185,1,2,3,7
1016,8,45,189,4,2,8,4
1127,8,26,166,4,5,6,9
1219,8,18,166,2,2,5,5
1248,8,31,76,3,2,6,3
1256,8,17,118,4,2,2,3
1296,8,25,75,3,6,8,9
1414,8,19,135,5,7,5,3
1421,8,17,68,2,2,6,1
1422,8,35,117,5,4,1,6
1631,8,21,165,4,5,8,1
1867,8,27,146,5,9,1,1
1911,8,21,72,1,7,2,1
2011,8,43,148,2,9,1,3
2227,8,13,164,4,6,1,9
2287,8,6,85,4,4,1,5
2371,8,11,131,3,9,6,10
2449,8,26,121,3,6,1,1
2554,8,20,104,4,8,7,2
2608,8,15,35,1,4,4,8
2619,8,32,61,5,2,6,7
